"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 13:45:54 GMT 2024","Thu Feb 01 13:46:01 GMT 2024","6560","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbletoAddTodo","Create a Todo",""
"passed","Thu Feb 01 13:45:54 GMT 2024","Thu Feb 01 13:46:01 GMT 2024","6996","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","deleteTodo","Create a new TODO and delete the same TODO",""
"passed","Thu Feb 01 13:45:54 GMT 2024","Thu Feb 01 13:45:58 GMT 2024","3282","Surefire suite","Surefire test","com.qacart.todo.testcases.UserTest","com.qacart.todo.testcases.UserTest","userRegistrationfunctionality","Register a new account",""
