"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 19:02:55 GMT 2024","Thu Feb 01 19:02:59 GMT 2024","4040","Surefire suite","Surefire test","com.qacart.todo.testcases.UserTest","com.qacart.todo.testcases.UserTest","userRegistrationfunctionality","Register a new account",""
"passed","Thu Feb 01 19:02:55 GMT 2024","Thu Feb 01 19:03:03 GMT 2024","7791","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbletoAddTodo","Create a Todo",""
"passed","Thu Feb 01 19:02:55 GMT 2024","Thu Feb 01 19:03:04 GMT 2024","8435","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","deleteTodo","Create a new TODO and delete the same TODO",""
